chords	cp	key	section	song	artist
['C#', 'D#', 'Fm', 'D#']	4,5,6,5	8.0		smooth criminal	michael jackson
['G#m', 'A#m', 'C', 'A#m']	4,5,6,5	3.0		beat it	michael jackson
['C', 'D', 'Em', 'D']	4,5,6,5	7.0		trust	salia
['F', 'G', 'Am', 'G']	4,5,6,5	0.0		in the air tonight	phil collins
['Em', 'F#m', 'G#', 'F#m']	4,5,6,5	11.0		iron	within temptation
['Bm', 'C#m', 'D#', 'C#m']	4,5,6,5	6.0		before he cheats	carrie underwood
['F#m', 'G#m', 'A#', 'G#m']	4,5,6,5	1.0		gimme shelter	the rolling stones
['Dm', 'Em', 'F#', 'Em']	4,5,6,5	9.0		sovereign	kevin macleod
['Cm', 'Dm', 'E', 'Dm']	4,5,6,5	7.0		hyperballad	bjork
['D', 'E', 'F#m', 'E']	4,5,6,5	9.0		home	madeon
['D', 'E', 'F#m', 'E']	4,5,6,5	9.0		burning for no one	the cribs
['B', 'C#', 'D#m', 'C#']	4,5,6,5	6.0		live for the night	krewella
['Am', 'Bm', 'C#', 'Bm']	4,5,6,5	4.0		treasured soul	michael calfan
['Em', 'F#m', 'G#', 'F#m']	4,5,6,5	11.0		overtime	cash cash
['F#', 'G#', 'A#m', 'G#']	4,5,6,5	1.0		night moves	bob seger
['G', 'A', 'Bm', 'A']	4,5,6,5	2.0		life	mitis
['Bm', 'C#m', 'D#', 'C#m']	4,5,6,5	6.0		vain	singularity
['F#', 'G#', 'A#m', 'G#']	4,5,6,5	1.0		the city is mine	garmiani and salvatore ganacci
['C#m', 'D#m', 'F', 'D#m']	4,5,6,5	8.0		more than ever	breathe carolina
['F#', 'G#', 'A#m', 'G#']	4,5,6,5	1.0		fighting for my love	nil lara
['Am', 'Bm', 'C#', 'Bm']	4,5,6,5	4.0		staying	koda
['A', 'B', 'C#m', 'B']	4,5,6,5	4.0		everywhere	fleetwood mac
['Bm', 'C#m', 'D#', 'C#m']	4,5,6,5	6.0		word up	cameo
['C#', 'D#', 'Fm', 'D#']	4,5,6,5	8.0		when darkness falls	killswitch engage
['Dm', 'Em', 'F#', 'Em']	4,5,6,5	9.0		no time for caution - interstellar	hans zimmer
['C#m', 'D#m', 'F', 'D#m']	4,5,6,5	8.0		criminal	smiley feat kaan
['F', 'G', 'Am', 'G']	4,5,6,5	0.0		jenn je t'aime	superbus
['G', 'A', 'Bm', 'A']	4,5,6,5	2.0		asgore	toby fox
['F', 'G', 'Am', 'G']	4,5,6,5	0.0		gold slugs	dj khaled
['Gm', 'Am', 'B', 'Am']	4,5,6,5	2.0		mr crowley	ozzy osbourne
['B', 'C#', 'D#m', 'C#']	4,5,6,5	6.0		attaboy	say anything
['C', 'D', 'Em', 'D']	4,5,6,5	7.0		someone new	hozier
['D', 'E', 'F#m', 'E']	4,5,6,5	9.0		aftermath	muse
['Gm', 'Am', 'B', 'Am']	4,5,6,5	2.0		mountain at my gates	foals
['Em', 'F#m', 'G#', 'F#m']	4,5,6,5	11.0		exposure	gareth emery
['A#', 'C', 'Dm', 'F']	4,5,6,1	5.0		say yes	elliott smith
['F#', 'G#', 'A#m', 'C#']	4,5,6,1	1.0		near you always	jewel
['A', 'B', 'C#m', 'E']	4,5,6,1	4.0		center of the universe - blinders remix	axwell
['Em', 'F#m', 'G#', 'Bm']	4,5,6,1	11.0		liar liar - avicii by avicii	avicii
['Cm', 'Dm', 'E', 'Gm']	4,5,6,1	7.0		remember	steve angello
['B', 'C#', 'D#m', 'F#']	4,5,6,1	6.0		lay it all on me	rudimental
['G', 'A', 'Bm', 'D']	4,5,6,1	2.0		gimme more	britney spears
['C#m', 'D#m', 'F', 'G#m']	4,5,6,1	8.0		choose me	xilent
['Em', 'F#m', 'G#', 'Bm']	4,5,6,1	11.0		closure	chevelle
['C', 'D', 'Em', 'G']	4,5,6,1	7.0		this is gospel	panic at the disco
['F', 'G', 'Am', 'C']	4,5,6,1	0.0		lunar	virtual riot
['A#', 'C', 'Dm', 'F']	4,5,6,1	5.0		younger	seinabo sey
['C#m', 'D#m', 'F', 'C']	4,5,6,3	8.0		the night out - madeon remix	martin solveig
['Cm', 'Dm', 'E', 'B']	4,5,6,3	7.0		back 2 life	e-type
['F#', 'G#', 'A#m', 'Fm']	4,5,6,3	1.0		run riot	camo and krooked
['A#m', 'Cm', 'D', 'A']	4,5,6,3	5.0		kingdom	archie feat brenton mattheus
['Dm', 'Em', 'F#', 'C#']	4,5,6,3	9.0		rainbow in the dark	dio
['Gm', 'Am', 'B', 'F#']	4,5,6,3	2.0		man of sorrows	bruce dickinson
['Bm', 'C#m', 'D#', 'A#']	4,5,6,3	6.0		hold the line	toto
['Em', 'F#m', 'G#', 'D#']	4,5,6,3	11.0		shame on me	avicii
['D', 'E', 'F#m', 'C#m']	4,5,6,3	9.0		sway	bic runga
['C#m', 'D#m', 'F', 'C']	4,5,6,3	8.0		lucent	dj noriken feat yukacco
['Am', 'Bm', 'C#', 'G#']	4,5,6,3	4.0		utopia	qubicon and reunify
['F#', 'G#', 'A#m', 'Fm']	4,5,6,3	1.0		electric feel	mgmt
['C#', 'D#', 'Fm', 'Cm']	4,5,6,3	8.0		courtesy	chipzel
['D', 'E', 'F#m', 'C#m']	4,5,6,3	9.0		realiti	grimes
['G', 'A', 'Bm', 'F#m']	4,5,6,3	2.0		the cosmos is yours - cosmos a spacetime odyssey	alan silvestri
['F', 'G', 'Am', 'Em']	4,5,6,3	0.0		4eva	rustie
['A#', 'C', 'Dm', 'Am']	4,5,6,3	5.0		sing to me	delain
['Bm', 'C#m', 'D#', 'A#']	4,5,6,3	6.0		horizons	parkway drive
['C#m', 'D#m', 'F', 'C']	4,5,6,3	8.0		spear of justice	toby fox
['D', 'E', 'F#m', 'C#m']	4,5,6,3	9.0		say it all	sondre lerche
['G#', 'A#', 'D#', 'G#']	4,5,1,4	3.0		save the best for last	vanessa williams
['F', 'G', 'C', 'F']	4,5,1,4	0.0		bless the broken road	rascal flatts
['G', 'A', 'D', 'G']	4,5,1,4	2.0		bruises	train
['Dm', 'Em', 'Am', 'Dm']	4,5,1,4	9.0		where your eyes don't go	they might be giants
['G', 'A', 'D', 'G']	4,5,1,4	2.0		here comes your man	pixies
['A#', 'C', 'F', 'A#']	4,5,1,4	5.0		holiday road	lindsey buckingham
['C', 'D', 'G', 'C']	4,5,1,4	7.0		the boy with the thorn in his side	the smiths
['F', 'G', 'C', 'F']	4,5,1,4	0.0		ja vi elsker - norwegian national anthem	rikard nordraak - bjornstjerne bjornson
['G', 'A', 'D', 'A']	4,5,1,5	2.0		mardy bum	arctic monkeys
['D#', 'F', 'A#', 'F']	4,5,1,5	10.0		mr blue sky	electric light orchestra
['G', 'A', 'D', 'A']	4,5,1,5	2.0		when you look me in the eyes	jonas brothers
['D#', 'F', 'A#', 'F']	4,5,1,5	10.0		the call	regina spektor
['G', 'A', 'D', 'A']	4,5,1,5	2.0		we can work it out	the beatles
['A', 'B', 'E', 'B']	4,5,1,5	4.0		the spirit of radio	rush
['F', 'G', 'C', 'G']	4,5,1,5	0.0		come over	tim and eric
['A#', 'C', 'F', 'C']	4,5,1,5	5.0		beautiful heartbeat - avicii remix	morten
['D', 'E', 'A', 'E']	4,5,1,5	9.0		momomo	wjsn
['G', 'A', 'D', 'A']	4,5,1,5	2.0		please please please let me get what i want	the smiths
['Gm', 'Am', 'Dm', 'B']	4,5,1,6	2.0		bwv 1080 art of the fugue - contrapunctus i	johann sebastian bach
['A#', 'C', 'F', 'Dm']	4,5,1,6	5.0		for a better day - kshmr remix	avicii
['D', 'E', 'D', 'E']	4,5,4,5	9.0		starlight	taylor swift
['C', 'D', 'C', 'D']	4,5,4,5	7.0		i want to hold your hand	the beatles
['F#', 'G#', 'F#', 'G#']	4,5,4,5	1.0		macarena	los del rio
['D', 'E', 'D', 'E']	4,5,4,5	9.0		reptilia	the strokes
['F', 'G', 'F', 'G']	4,5,4,5	0.0		dreams	fleetwood mac
['Gm', 'Am', 'Gm', 'Am']	4,5,4,5	2.0		the doctor's theme series 4	murray gold
['C', 'D', 'C', 'D']	4,5,4,5	7.0		little electric	the good and the damned
['Gm', 'Am', 'Gm', 'Am']	4,5,4,5	2.0		shades of cool	lana del rey
['C', 'D', 'C', 'D']	4,5,4,5	7.0		libertine	mylene farmer
['A#m', 'Cm', 'A#m', 'Cm']	4,5,4,5	5.0		beautiful people	chris brown
['A#', 'C', 'A#', 'C']	4,5,4,5	5.0		sunrise	the who
['A#', 'C', 'A#', 'C']	4,5,4,5	5.0		isles	fleet foxes
['D', 'E', 'D', 'E']	4,5,4,5	9.0		no rain	blind melon
['D', 'E', 'D', 'E']	4,5,4,5	9.0		soul man	the blues brothers
['F#', 'G#', 'F#', 'G#']	4,5,4,5	1.0		what use	tuxedomoon
['C#', 'D#', 'C#', 'D#']	4,5,4,5	8.0		linus and lucy	vince guaraldi
['D#', 'F', 'D#', 'F']	4,5,4,5	10.0		heavenly star	genki rockets
['F', 'G', 'F', 'G']	4,5,4,5	0.0		feather	devin townsend
['F#m', 'G#m', 'F#m', 'G#m']	4,5,4,5	1.0		humanity	scorpions
['Cm', 'Dm', 'Cm', 'Dm']	4,5,4,5	7.0		the denial twist	the white stripes
['G', 'A', 'G', 'A']	4,5,4,5	2.0		jeremy	pearl jam
['G', 'A', 'G', 'A']	4,5,4,5	2.0		reality in motion	tame impala
['C', 'D', 'C', 'D']	4,5,4,5	7.0		express yourself	madonna
['G', 'A', 'G', 'A']	4,5,4,5	2.0		advert	blur
['C', 'D', 'C', 'D']	4,5,4,5	7.0		m79	vampire weekend
['F#', 'G#', 'F#', 'G#']	4,5,4,5	1.0		eulogy	saves the day
['F', 'G', 'F', 'G']	4,5,4,5	0.0		hungry like the wolf	duran duran
['A', 'B', 'A', 'B']	4,5,4,5	4.0		past lives	borns
['F', 'G', 'F', 'G']	4,5,4,5	0.0		stop in the name of love	the supremes
['F', 'G', 'F', 'G']	4,5,4,5	0.0		closer to our graves	lucky boys confusion
['A', 'B', 'A', 'B']	4,5,4,5	4.0		mer girl	madonna
['F', 'G', 'F', 'G']	4,5,4,5	0.0		new york city cops	the strokes
['F', 'G', 'F', 'G']	4,5,4,5	0.0		the hours	beach house
['D', 'E', 'D', 'A']	4,5,4,1	9.0		take it to the limit	the eagles
['C', 'D', 'C', 'G']	4,5,4,1	7.0		school of rock	school of rock
['D', 'E', 'D', 'A']	4,5,4,1	9.0		who are you	the who
['C', 'D', 'C', 'G']	4,5,4,1	7.0		gorilla	bruno mars
['Cm', 'Dm', 'Cm', 'B']	4,5,4,3	7.0		x you	avicii
['F#m', 'G#m', 'F#m', 'F']	4,5,4,3	1.0		chinito	yeng constantino
['Fm', 'Gm', 'Fm', 'E']	4,5,4,3	0.0		kicked your monkey	bad lip reading
['A#', 'C', 'A#', 'Am']	4,5,4,3	5.0		love paranoia	tame impala
['Am', 'Bm', 'Am', 'C#']	4,5,4,6	4.0		breakn' a sweat	skrillex
['F#', 'G#', 'F#', 'A#m']	4,5,4,6	1.0		sledgehammer	savant
['E', 'F#', 'E', 'G#m']	4,5,4,6	11.0		rock you like a hurricane	scorpions
['F', 'G', 'F', 'Am']	4,5,4,6	0.0		golden chords	deakin
['Fm', 'Gm', 'E', 'A']	4,5,3,6	0.0		hold it against me	britney spears
['Cm', 'Dm', 'B', 'E']	4,5,3,6	7.0		scream	usher
['Fm', 'Gm', 'E', 'A']	4,5,3,6	0.0		strength of a thousand men	two steps from hell
['E', 'F#', 'D#m', 'G#m']	4,5,3,6	11.0		the essence of silence	epica
['F', 'G', 'Em', 'Am']	4,5,3,6	0.0		always online	jj lin 
['F', 'G', 'Em', 'Am']	4,5,3,6	0.0		always online	jj lin
['Dm', 'Em', 'C#', 'F#']	4,5,3,6	9.0		a moment in the life of me	dax johnson
['Bm', 'C#m', 'A#', 'D#']	4,5,3,6	6.0		lost in life	sirenia
['Em', 'F#m', 'D#', 'G#']	4,5,3,6	11.0		the love that lasts the longest part 1	sound apparel
['Fm', 'Gm', 'E', 'A']	4,5,3,6	0.0		jar of love	wanting
['F#m', 'G#m', 'F', 'A#']	4,5,3,6	1.0		sirius	eir aoi
['F#', 'G#', 'Fm', 'A#m']	4,5,3,6	1.0		chandelier	sia
['F#', 'G#', 'Fm', 'A#m']	4,5,3,6	1.0		colors of the wind	disney
['E', 'F#', 'D#m', 'E']	4,5,3,4	11.0		a thousand miles	vanessa carlton
['Dm', 'Em', 'C#', 'Dm']	4,5,3,4	9.0		polish girl	neon indian
['Am', 'Bm', 'G#', 'Am']	4,5,3,4	4.0		perfect life	steven wilson
['D#', 'F', 'Dm', 'D#']	4,5,3,4	10.0		honesty	billy joel
['C#m', 'D#m', 'C', 'C#m']	4,5,3,4	8.0		played-a-live	safri duo
['G#', 'A#', 'Gm', 'G#']	4,5,3,4	3.0		when we were young	adele
['C', 'D', 'Bm', 'C']	4,5,3,4	7.0		bright eyes	art garfunkel
['F#', 'A#m', 'G#', 'F#']	4,6,5,4	1.0		realize	colbie caillat
['Fm', 'A', 'Gm', 'Fm']	4,6,5,4	0.0		take care	drake
['A#', 'Dm', 'C', 'A#']	4,6,5,4	5.0		bette davis eyes	kim carnes
['D', 'F#m', 'E', 'D']	4,6,5,4	9.0		the other side	jason derulo
['F#', 'A#m', 'G#', 'F#']	4,6,5,4	1.0		not meant to be	theory of a deadman
['A#m', 'D', 'Cm', 'A#m']	4,6,5,4	5.0		la guitarra	orjan nilsen
['D#', 'Gm', 'F', 'D#']	4,6,5,4	10.0		lichen and bees	tamas wells
['F#m', 'A#', 'G#m', 'F#m']	4,6,5,4	1.0		fable	robert miles
['Bm', 'D#', 'C#m', 'Bm']	4,6,5,4	6.0		too little too late	jojo
['Bm', 'D#', 'C#m', 'Bm']	4,6,5,4	6.0		west coast	lana del rey
['Bm', 'D#', 'C#m', 'Bm']	4,6,5,4	6.0		you my everything	ellie goulding
['F#', 'A#m', 'G#', 'F#']	4,6,5,4	1.0		asereje	las ketchup
['G#m', 'C', 'A#m', 'G#m']	4,6,5,4	3.0		last chance	kaskade
['C', 'Em', 'D', 'C']	4,6,5,4	7.0		more - jimmy joker remix	usher
['A', 'C#m', 'B', 'A']	4,6,5,4	4.0		gives you hell	all american rejects
['A', 'C#m', 'B', 'A']	4,6,5,4	4.0		outdoor miner	wire
['C', 'Em', 'D', 'C']	4,6,5,4	7.0		shifting sands	jordan rudess
['Bm', 'D#', 'C#m', 'Bm']	4,6,5,4	6.0		sincere - pulser mix	firewall
['Em', 'G#', 'F#m', 'Em']	4,6,5,4	11.0		ayo technology	milow
['A#m', 'D', 'Cm', 'A#m']	4,6,5,4	5.0		when the beat drops out	marlon roudette
['F#m', 'A#', 'G#m', 'F#m']	4,6,5,4	1.0		hand cannot erase	steven wilson
['F#', 'A#m', 'G#', 'F#']	4,6,5,4	1.0		genie in a bottle	christina aguilera
['F', 'Am', 'G', 'F']	4,6,5,4	0.0		escape	rupert holmes
['F', 'Am', 'G', 'F']	4,6,5,4	0.0		all over the world	above and beyond feat alex vargas
['Bm', 'D#', 'C#m', 'Bm']	4,6,5,4	6.0		the ex	billy talent
['Dm', 'F#', 'Em', 'Dm']	4,6,5,4	9.0		out of my league	fitz and the tantrums
['Bm', 'D#', 'C#m', 'Bm']	4,6,5,4	6.0		should've been us	tori kelly
['D#m', 'G', 'Fm', 'D#m']	4,6,5,4	10.0		talk to myself	avicii
['C#m', 'F', 'D#m', 'C#m']	4,6,5,4	8.0		ecstasy	atb
['F', 'Am', 'G', 'F']	4,6,5,4	0.0		hang on	guster
['D#m', 'G', 'Fm', 'D#m']	4,6,5,4	10.0		dreaming	smallpools
['Cm', 'E', 'Dm', 'Cm']	4,6,5,4	7.0		there might be coffee	deadmau5
['G', 'Bm', 'A', 'G']	4,6,5,4	2.0		colossus	borknagar
['G#', 'Cm', 'A#', 'G#']	4,6,5,4	3.0		i won't let you walk away - lost kings remix	mako
['F', 'Am', 'G', 'F']	4,6,5,4	0.0		san diego	blink-182
['A', 'C#m', 'B', 'E']	4,6,5,1	4.0		ponponpon	kyary pamyu pamyu
['F#', 'A#m', 'G#', 'C#']	4,6,5,1	1.0		love somebody	maroon 5
['F#', 'A#m', 'G#', 'C#']	4,6,5,1	1.0		silenced by the night - alesso remix	keane
['F', 'Am', 'G', 'C']	4,6,5,1	0.0		bonfire heart	james blunt
['A#m', 'D', 'Cm', 'Fm']	4,6,5,1	5.0		dreaming - the chainsmokers remix	smallpools
['Cm', 'E', 'Dm', 'Ad']	4,6,5,2	7.0		champagne showers	lmfao
['C#m', 'F', 'D#m', 'A#d']	4,6,5,2	8.0		bye bye bye	nsync
['F#m', 'A#', 'G#m', 'D#d']	4,6,5,2	1.0		summertime sadness	lana del rey
['F', 'Am', 'G', 'Dm']	4,6,5,2	0.0		one	swedish house mafia
['D#m', 'G', 'Fm', 'Cd']	4,6,5,2	10.0		the figurehead	the cure
['Bm', 'D#', 'C#m', 'G#d']	4,6,5,2	6.0		hold on we're going home	drake
['Cm', 'E', 'Dm', 'Ad']	4,6,5,2	7.0		the lost	mat zo
['Dm', 'F#', 'Em', 'Bd']	4,6,5,2	9.0		eros and apollo	studio killers
['Cm', 'E', 'Dm', 'Ad']	4,6,5,2	7.0		figure 8	ellie goulding
['Dm', 'F#', 'Em', 'Bd']	4,6,5,2	9.0		blind faith	chase and status
['Fm', 'A', 'Gm', 'Dd']	4,6,5,2	0.0		chains	nick jonas
['G', 'Bm', 'A', 'Em']	4,6,5,2	2.0		matilda	alt-j
['D', 'F#m', 'E', 'Bm']	4,6,5,2	9.0		alive with the glory of love	say anything
['F#m', 'A#', 'G#m', 'D#d']	4,6,5,2	1.0		where we were	pierce fulton and polina
['Em', 'G#', 'F#m', 'C#d']	4,6,5,2	11.0		eye of the storm - stadiumx remix	gareth emery
['A#m', 'D', 'Cm', 'Gd']	4,6,5,2	5.0		love inc	booka shade
['Bm', 'D#', 'C#m', 'G#d']	4,6,5,2	6.0		drifting	g-eazy
['Am', 'C#', 'Bm', 'G#']	4,6,5,3	4.0		omg	usher
['Am', 'C#', 'Bm', 'G#']	4,6,5,3	4.0		superman	mat zo
['Bm', 'D#', 'C#m', 'A#']	4,6,5,3	6.0		survive	savant
['G#m', 'C', 'A#m', 'G']	4,6,5,3	3.0		nevergreen	emancipator
['Dm', 'F#', 'Em', 'C#']	4,6,5,3	9.0		let go for tonight	foxes
['B', 'D#m', 'C#', 'A#m']	4,6,5,3	6.0		the universe	marcus schossow - arston
['F#', 'A#m', 'G#', 'Fm']	4,6,5,3	1.0		waves robin schulz remix	mr probz 
['Cm', 'E', 'Dm', 'B']	4,6,5,3	7.0		broken	dubvision
['A#m', 'D', 'Cm', 'A']	4,6,5,3	5.0		panic switch	silversun pickups
['Bm', 'D#', 'C#m', 'A#']	4,6,5,3	6.0		i hate u i love u	gnash
['Dm', 'F#', 'Em', 'F#']	4,6,5,6	9.0		swimming	florence and the machine
['D#m', 'G', 'Fm', 'G']	4,6,5,6	10.0		nightfall	blind guardian
['A#', 'Dm', 'C', 'Dm']	4,6,5,6	5.0		beyond the veil	lindsey stirling
['F#m', 'A#', 'G#m', 'A#']	4,6,5,6	1.0		alive	hillsong young and free
['E', 'G#m', 'F#', 'G#m']	4,6,5,6	11.0		what now	rihanna
['D', 'F#m', 'E', 'F#m']	4,6,5,6	9.0		indestructible	robyn
['Bm', 'D#', 'C#m', 'D#']	4,6,5,6	6.0		ubi caritas	ola gjeilo
['Dm', 'F#', 'Em', 'F#']	4,6,5,6	9.0		resistance	muse
['F', 'Am', 'G', 'Am']	4,6,5,6	0.0		somebody else	the 1975
['Cm', 'E', 'Gm', 'Dm']	4,6,1,5	7.0		infinity 2008	josh guru project
['D#', 'Gm', 'A#', 'F']	4,6,1,5	10.0		my friend	tristam
['F#m', 'A#', 'C#m', 'F#m']	4,6,1,4	1.0		turn around	conor maynard
['F#', 'A#m', 'C#', 'F#']	4,6,1,4	1.0		king of anything	sara bareilles
['Bm', 'D#', 'F#m', 'Bm']	4,6,1,4	6.0		i could be the one	avicii vs nicky romero
['F', 'Am', 'C', 'F']	4,6,1,4	0.0		1901	phoenix
['A', 'C#m', 'E', 'A']	4,6,1,4	4.0		top notch	manchester orchestra
['Am', 'C#', 'Em', 'G#']	4,6,1,3	4.0		company	justin bieber
['C#', 'Fm', 'G#', 'Cm']	4,6,1,3	8.0		turtle island	beach house
['Dm', 'F#', 'Dm', 'F#']	4,6,4,6	9.0		colin zeal	blur
['F', 'Am', 'F', 'Am']	4,6,4,6	0.0		this kiss	carly rae jepsen
['G', 'Bm', 'G', 'Bm']	4,6,4,6	2.0		the sheriff	emerson lake and palmer
['F#', 'A#m', 'F#', 'A#m']	4,6,4,6	1.0		something in the way	nirvana
['A#', 'Dm', 'A#', 'Dm']	4,6,4,6	5.0		sense of touch	mark isham
['Fm', 'A', 'Fm', 'A']	4,6,4,6	0.0		la vida es un carnaval	celia cruz
['Em', 'G#', 'Em', 'G#']	4,6,4,6	11.0		billie jean	michael jackson
['Fm', 'A', 'Fm', 'A']	4,6,4,6	0.0		aerials	system of a down
['Am', 'C#', 'Am', 'C#']	4,6,4,6	4.0		when you're gone	avril lavigne
['C', 'Em', 'C', 'Em']	4,6,4,6	7.0		saline	frost
['A', 'C#m', 'A', 'C#m']	4,6,4,6	4.0		what do you want from me	pink floyd
['Dm', 'F#', 'Dm', 'F#']	4,6,4,6	9.0		turn the tide	sylver
['G#m', 'C', 'G#m', 'C']	4,6,4,6	3.0		survive the night	mandopony
['B', 'D#m', 'B', 'D#m']	4,6,4,6	6.0		we rise	san holo
['F#m', 'A#', 'F#m', 'A#']	4,6,4,6	1.0		dark paradise	lana del rey
['Am', 'C#', 'Am', 'C#']	4,6,4,6	4.0		oh comely	neutral milk hotel
['D', 'F#m', 'D', 'F#m']	4,6,4,6	9.0		butterflies and hurricanes	muse
['C', 'Em', 'C', 'G']	4,6,4,1	7.0		motion picture soundtrack	radiohead
['C', 'Em', 'C', 'D']	4,6,4,5	7.0		riot	arty and matisse and sadko
['G', 'Bm', 'G', 'A']	4,6,4,5	2.0		at the bottom	brand new
['Gm', 'D#', 'A#', 'F']	6,4,1,5	10.0		alone	armin van buuren
['F#m', 'D', 'A', 'E']	6,4,1,5	9.0		tears in heaven	eric clapton
['G#m', 'E', 'B', 'F#']	6,4,1,5	11.0		the spark	afrojack
['Bm', 'G', 'D', 'A']	6,4,1,5	2.0		needing - getting	ok go
['Em', 'C', 'G', 'D']	6,4,1,5	7.0		alpha	murtagh
['A#', 'F#m', 'C#m', 'G#m']	6,4,1,5	1.0		flux	bloc party
['Em', 'C', 'G', 'D']	6,4,1,5	7.0		wings	birdy
['C#m', 'A', 'E', 'B']	6,4,1,5	4.0		with me	sum 41
['A#m', 'F#', 'C#', 'G#']	6,4,1,5	1.0		the kids aren't alright	the offspring
['Bm', 'G', 'D', 'Bm']	6,4,1,6	2.0		song of the caged bird	lindsey stirling
['A#m', 'F#', 'C#', 'A#m']	6,4,1,6	1.0		barrel of a gun	guster
['B', 'Gm', 'Dm', 'Ed']	6,4,1,2	2.0		illmerica	wolfgang gartner
['Am', 'F', 'C', 'Dm']	6,4,1,2	0.0		lover to lover	florence and the machine
['Am', 'F', 'C', 'Dm']	6,4,1,2	0.0		hung up on a dream	the zombies
['Fm', 'C#', 'G#', 'A#m']	6,4,1,2	8.0		now is gold	infected mushroom feat kelsy karter
['D', 'A#m', 'Fm', 'Gd']	6,4,1,2	5.0		moskau	dschinghis khan
['Gm', 'D#', 'F', 'Gm']	6,4,5,6	10.0		sweet victory	david glen eisley
['A#', 'F#m', 'G#m', 'A#']	6,4,5,6	1.0		guren no yumiya	linked horizon
['F', 'C#m', 'D#m', 'F']	6,4,5,6	8.0		heads will roll	yeah yeah yeahs
['F#m', 'D', 'E', 'F#m']	6,4,5,6	9.0		phantom limb	the shins
['A#', 'F#m', 'G#m', 'A#']	6,4,5,6	1.0		calling - lose my mind	sebastian ingrosso and alesso
['Fm', 'C#', 'D#', 'Fm']	6,4,5,6	8.0		love me like you do	ellie goulding
['D', 'A#m', 'Cm', 'D']	6,4,5,6	5.0		ncis theme	numeriklab
['Dm', 'A#', 'C', 'F']	6,4,5,1	5.0		lambada	kaoma
['A#', 'F#m', 'G#m', 'C#m']	6,4,5,1	1.0		santeria	sublime
['C#m', 'A', 'B', 'E']	6,4,5,1	4.0		first day of my life	bright eyes
['D#', 'Bm', 'C#m', 'F#m']	6,4,5,1	6.0		oath sign 	lisa
['Bm', 'G', 'A', 'D']	6,4,5,1	2.0		what about love	austin mahone
['Am', 'F', 'G', 'C']	6,4,5,1	0.0		do-re-mi	rodgers and hammerstein
['A#', 'F#m', 'G#m', 'C#m']	6,4,5,1	1.0		thank you	dido
['A#m', 'F#', 'G#', 'C#']	6,4,5,1	1.0		tuvan	gaia - armin van buuren
['Bm', 'G', 'A', 'D']	6,4,5,1	2.0		we wish you a merry christmas	traditional
['G', 'D#m', 'Fm', 'A#m']	6,4,5,1	10.0		now you're gone	basshunter
['D#', 'Bm', 'C#m', 'F#m']	6,4,5,1	6.0		dadima	kshmr
['F#m', 'D', 'E', 'C#m']	6,4,5,3	9.0		the message - northern mix	cern
['A#m', 'F#', 'G#', 'D#m']	6,4,5,2	1.0		witchcraft	pendulum
['Dm', 'A#', 'C', 'Gm']	6,4,5,2	5.0		no more lies	iron maiden
['G#', 'Em', 'F#m', 'C#d']	6,4,5,2	11.0		silver sun - lights anthem	dimitri vangelis and wyman
['B', 'Gm', 'Am', 'Ed']	6,4,5,2	2.0		i am the doctor	murray gold
['E', 'Cm', 'Dm', 'Ad']	6,4,5,2	7.0		hideaway	kiesza
['E', 'Cm', 'Dm', 'Ad']	6,4,5,2	7.0		tropic	scribit
['G#', 'Em', 'F#m', 'C#d']	6,4,5,2	11.0		flashback	arty
['F', 'C#m', 'D#m', 'A#d']	6,4,5,2	8.0		escape	3lau
['E', 'Cm', 'Dm', 'Ad']	6,4,5,2	7.0		propane nightmares	pendulum
['F#', 'Dm', 'Em', 'Bd']	6,4,5,2	9.0		violent dreams	crystal castles
['F#', 'Dm', 'Em', 'Bd']	6,4,5,2	9.0		sagrad	grimes
['Fm', 'C#', 'D#', 'A#m']	6,4,5,2	8.0		run	genix
['A#', 'F#m', 'G#m', 'D#d']	6,4,5,2	1.0		message in a bottle	the police
['D', 'A#m', 'Cm', 'Gd']	6,4,5,2	5.0		sugar feat francesco yates	robin schulz
['A', 'Fm', 'Gm', 'Dd']	6,4,5,2	0.0		me myself and i	g-eazy
['A', 'Fm', 'Gm', 'Dd']	6,4,5,2	0.0		drag me down	one direction
['E', 'Cm', 'Dm', 'Ad']	6,4,5,2	7.0		dragon	martin garrix
['G#', 'Em', 'C#d', 'F#m']	6,4,2,5	11.0		moi lolita	alizee
['D#', 'Bm', 'G#d', 'C#m']	6,4,2,5	6.0		the final countdown	europe
['F#', 'Dm', 'Bd', 'Em']	6,4,2,5	9.0		stay	rihanna
['Am', 'F', 'Dm', 'G']	6,4,2,5	0.0		mr jones	counting crows
['G', 'D#m', 'Cd', 'Fm']	6,4,2,5	10.0		bullet with butterfly wings	smashing pumpkins
['G', 'D#m', 'Cd', 'Fm']	6,4,2,5	10.0		papaoutai	stromae
['Am', 'F', 'Dm', 'G']	6,4,2,5	0.0		perpetuum mobile	penguin cafe orchestra
['C#', 'Am', 'F#d', 'Bm']	6,4,2,5	4.0		dangerous	david guetta
['G#', 'Em', 'C#d', 'F#m']	6,4,2,5	11.0		same old love	selena gomez
['G', 'D#m', 'Cd', 'Fm']	6,4,2,5	10.0		the vine	tristam
['G#', 'Em', 'C#d', 'F#m']	6,4,2,5	11.0		freedom dive	xi
